Entry,Legal Name,DOB,Contact Info,Residence,Gender,Mother's Name,Mother's Occupation,Mother's Education,Mother's Phone,Father's Name,Father's Occupation,Father's Education,Father's Phone,Education Dates,Secondary School,GPA,Activities,Writing,Fees Status,SAT Score (1600),ACT Score (36),AP Score (15),IB Score (7),TOEFL Score (120),IELTS Score (9),Fraudulent
1,John Smith,15-01-2002,(123) 456-7890,123 Main Street,Male,Mary Smith,Teacher,Bachelor's Degree,(987) 654-3210,David Smith,Engineer,Master's Degree,(555) 123-4567,2018-2022,Anytown High School,3.8,Debate Club,[Personal essay text],Paid,1160,33,15,7,101,6,FALSE
2,Emily Lee,20-03-2003,(456) 789-0123,456 Elm Street,Female,Lily Lee,Nurse,Associate's Degree,(789) 012-3456,James Lee,Architect,Bachelor's Degree,(234) 567-8901,2019-2023,Maplewood High School,4,Student Council,[Personal essay text],Waiver requested,1190,33,15,4,111,9,FALSE
3,Michael Wang,10-07-2001,(789) 012-3456,789 Oak Avenue,Male,Susan Wang,Lawyer,Juris Doctorate,(321) 654-9870,Kevin Wang,Business Analyst,Bachelor's Degree,(678) 901-2345,2017-2021,Oakridge Preparatory School,3.9,Basketball Team,[Personal essay text],Not paid,1400,33,15,4,96,7,FALSE
4,Emma Johnson,05-05-2002,(987) 654-3210,987 Pine Road,Female,Sarah Johnson,Pediatrician,Doctor of Medicine,(432) 109-8765,Daniel Johnson,Software Engineer,Master's Degree,(345) 678-9012,2018-2022,Pineview High School,3.7,Drama Club,[Personal essay text],Paid,1380,26,13,6,114,8,FALSE
5,Ethan Brown,30-11-2003,(234) 567-8901,234 Cedar Lane,Male,Rachel Brown,Accountant,Bachelor's Degree,(901) 234-5678,Matthew Brown,Attorney,Juris Doctorate,(210) 987-6543,2019-2023,Cedar Grove Academy,4,Soccer Team,[Personal essay text],Waiver requested,1320,26,14,7,109,8,FALSE
6,Olivia Chen,25-09-2001,(678) 901-2345,678 Willow Court,Female,Jennifer Chen,Dentist,Doctor of Dental Surgery,(543) 210-9876,Steven Chen,Professor,Ph.D.,(789) 456-1230,2017-2021,Willowbrook High School,3.8,Science Club,[Personal essay text],Not paid,1430,27,15,5,97,6,FALSE
7,Liam Wilson,18-08-2002,(345) 678-9012,345 Oakwood Drive,Male,Amanda Wilson,Software Engineer,Master's Degree,(876) 543-2109,Jason Wilson,Surgeon,Doctor of Medicine,(109) 876-5432,2018-2022,Oakwood Senior High,3.6,Chess Club,[Personal essay text],Paid,1340,28,15,7,85,9,FALSE
8,Sophia Liu,12-04-2003,(901) 234-5678,901 Walnut Avenue,Female,Grace Liu,Veterinarian,Doctor of Veterinary Medicine,(654) 321-0987,Andrew Liu,Financial Analyst,Bachelor's Degree,(432) 109-8765,2019-2023,Walnut Grove Secondary,3.9,Yearbook Committee,[Personal essay text],Waiver requested,1370,32,15,4,111,9,FALSE
9,Noah Martinez,01-12-2001,(210) 987-6543,210 Maple Street,Male,Maria Martinez,Social Worker,Master's Degree,(890) 765-4321,Miguel Martinez,Chef,Culinary School,(543) 210-9876,2017-2021,Maplewood High School,3.7,Volunteer at Homeless Shelter,[Personal essay text],Not paid,1240,27,13,7,87,7,FALSE
10,Mia Rodriguez,28-06-2002,(543) 210-9876,543 Birch Lane,Female,Angela Rodriguez,Architect,Bachelor's Degree,(109) 876-5432,Carlos Rodriguez,Physician Assistant,Master's Degree,(210) 987-6543,2018-2022,Birchwood Academy,3.8,Environmental Club,[Personal essay text],Paid,1240,33,14,4,100,7,FALSE
